genre_combination,count
Drama,310
Action-Crime-Drama,203
Drama-Romance,168
Comedy-Drama-Romance,122
Comedy-Drama,107
Action-Drama,106
Comedy,86
Drama-Family,81
Drama-Musical-Romance,75
Action-Comedy-Drama,74
Comedy-Romance,71
Action-Drama-Romance,68
Action,68
Action-Thriller,58
Comedy-Drama-Family,51
Romance,47
Action-Comedy-Crime,41
Action-Drama-Thriller,39
Comedy-Drama-Musical,34
Drama-Family-Musical,33
Drama-Thriller,32
Action-Crime-Thriller,31
Action-Adventure-Drama,31
Comedy-Crime-Drama,31
Crime-Drama,30
Action-Drama-Musical,27
Drama-Romance-Thriller,27
Crime-Drama-Thriller,26
Crime-Drama-Mystery,25
Drama-Family-Romance,23
Musical-Romance,22
Action-Comedy,22
Drama-Mystery-Thriller,21
Action-Adventure-Comedy,21
Thriller,20
Horror,19
Comedy-Musical-Romance,18
Mystery-Thriller,16
Biography-Drama,16
Action-Romance,14
Drama-Musical,14
Crime-Thriller,13
Biography-Drama-History,13
Action-Comedy-Romance,13
Comedy-Drama-Fantasy,13
Action-Drama-History,10
Drama-Mystery-Romance,9
Fantasy,9
Crime-Drama-Romance,9
Horror-Thriller,9
Action-Crime,8
Comedy-Thriller,8
Action-Crime-Romance,8
Action-Drama-Family,8
Action-Romance-Thriller,8
Comedy-Crime,8
Horror-Mystery,7
Adventure-Comedy-Drama,7
Drama-Sport,7
Drama-Music,7
Action-Adventure,7
Action-Adventure-Crime,7
Comedy-Drama-Thriller,7
Romance-Thriller,6
Action-Adventure-Thriller,6
Action-Drama-Mystery,6
Drama-History,6
Action-Adventure-Fantasy,6
Drama-Horror-Mystery,6
Action-Drama-Sport,6
Crime-Drama-Musical,5
Drama-History-War,5
Action-Musical-Romance,5
Mystery-Romance-Thriller,5
Action-Drama-Horror,5
Drama-Horror-Romance,5
Action-Comedy-Musical,5
Family,5
Action-Drama-War,5
Action-Biography-Drama,5
Crime-Mystery-Thriller,5
Action-Comedy-Fantasy,5
Action-Biography-Crime,4
Family-Romance,4
Horror-Mystery-Thriller,4
Drama-Musical-Mystery,4
Crime,4
Adventure-Drama-Thriller,4
Drama-Fantasy,4
Comedy-Family,4
Adventure-Drama-Fantasy,4
Action-Adventure-Animation,4
Biography-Crime-Drama,3
Animation,3
Drama-Fantasy-Romance,3
Comedy-Drama-Horror,3
Biography-Drama-Romance,3
Action-Comedy-Thriller,3
Action-Crime-Musical,3
Action-Mystery-Romance,3
Adventure-Comedy-Crime,3
Drama-Horror-Thriller,3
Comedy-Family-Romance,3
Comedy-Drama-Sport,3
Comedy-Drama-Music,3
Comedy-Horror,3
Action-Crime-Mystery,3
Comedy-Crime-Romance,3
Comedy-Crime-Thriller,3
Fantasy-Musical-Romance,3
Horror-Mystery-Romance,3
Musical,3
Action-Drama-Music,3
Action-Fantasy-Thriller,3
Drama-Family-Sport,3
Family-Musical-Romance,3
Drama-Music-Musical,3
Horror-Romance,3
Drama-Mystery,3
Documentary,3
Biography-Drama-Sport,3
Musical-Mystery-Thriller,2
Adventure-Horror-Mystery,2
Action-Mystery-Thriller,2
Crime-Mystery,2
Comedy-Music,2
Comedy-Crime-Mystery,2
Comedy-Romance-Thriller,2
Drama-Romance-War,2
Fantasy-Musical-Mystery,2
Action-Sci-Fi-Thriller,2
Drama-Family-Thriller,2
Comedy-Musical-Mystery,2
Drama-Horror,2
Action-Crime-Sci-Fi,2
Action-Drama-Fantasy,2
Adventure-Drama-Family,2
Comedy-Mystery-Thriller,2
Crime-Romance,2
Musical-Romance-Thriller,2
Drama-History-Musical,2
Action-Adventure-Sci-Fi,2
Drama-Family-Music,2
Horror-Romance-Thriller,2
Drama-War,2
