year_of_release,genre,count
1950,Drama,2
1950,Family,1
1950,Romance,1
1951,Drama,3
1951,Family,2
1951,Musical,1
1951,Romance,1
1951,Thriller,1
1952,Action,2
1952,Adventure,2
1952,Biography,1
1952,Drama,5
1952,History,1
1952,Romance,1
1952,Thriller,1
1953,Action,1
1953,Biography,1
1953,Drama,5
1953,Family,1
1953,History,1
1953,Musical,1
1953,Romance,2
1954,Adventure,1
1954,Comedy,2
1954,Drama,5
1954,Family,2
1954,Fantasy,1
1954,Musical,3
1954,Romance,4
1954,Thriller,1
1955,Action,2
1955,Comedy,1
1955,Crime,3
1955,Drama,6
1955,Family,1
1955,Fantasy,2
1955,Musical,4
1955,Romance,3
1956,Action,1
1956,Comedy,3
1956,Crime,1
1956,Drama,5
1956,Family,2
1956,Musical,1
1957,Adventure,1
1957,Comedy,1
1957,Crime,1
1957,Drama,6
1957,Family,1
1957,History,1
1957,Musical,5
1957,Romance,3
1958,Comedy,1
1958,Drama,4
1958,Family,2
1958,Fantasy,2
1958,Musical,3
1958,Mystery,3
1958,Romance,1
1958,Thriller,1
1959,Adventure,1
1959,Biography,1
1959,Comedy,2
1959,Drama,6
1959,History,1
1959,Musical,4
1959,Romance,3
1960,Crime,1
1960,Drama,6
1960,Musical,4
1960,Mystery,1
1960,Romance,5
1960,War,1
1961,Action,1
1961,Comedy,4
1961,Crime,1
1961,Drama,9
1961,Family,1
1961,Musical,3
1961,Romance,1
1962,Comedy,2
1962,Crime,1
1962,Drama,4
1962,Musical,5
1962,Mystery,1
1962,Romance,4
1962,Thriller,1
1963,Action,2
1963,Adventure,1
1963,Comedy,4
1963,Crime,1
1963,Drama,8
1963,Musical,3
1963,Romance,5
1964,Action,1
1964,Adventure,1
1964,Comedy,3
1964,Drama,12
1964,Family,1
1964,Musical,5
1964,Mystery,4
1964,Romance,5
1965,Action,1
1965,Adventure,2
1965,Biography,1
1965,Comedy,2
1965,Crime,2
1965,Drama,8
1965,History,1
1965,Musical,6
1965,Mystery,2
1965,Romance,7
1965,Thriller,1
1966,Action,3
1966,Comedy,4
1966,Drama,9
1966,Fantasy,1
1966,Musical,8
1966,Mystery,2
1966,Romance,9
1966,Thriller,1
1967,Action,3
1967,Adventure,3
1967,Comedy,4
1967,Crime,2
1967,Drama,11
1967,Family,2
1967,Musical,6
1967,Mystery,2
1967,Romance,2
1967,Thriller,2
1968,Action,4
1968,Adventure,3
1968,Comedy,7
1968,Crime,5
1968,Drama,16
1968,Family,3
1968,Fantasy,1
1968,Musical,4
1968,Mystery,2
1968,Romance,5
1968,Thriller,1
1969,Action,3
1969,Adventure,1
1969,Comedy,4
1969,Crime,3
1969,Drama,13
1969,Family,6
1969,Musical,4
1969,Mystery,3
1969,Romance,4
1969,Thriller,3
1970,Action,8
1970,Comedy,7
1970,Crime,2
1970,Drama,20
1970,Family,7
1970,Musical,9
1970,Mystery,2
1970,Romance,12
1970,Thriller,3
1971,Action,3
1971,Comedy,5
1971,Crime,1
1971,Drama,22
1971,Family,6
1971,Horror,1
1971,Musical,8
1971,Mystery,1
1971,Romance,8
