imdb_id,actor,director,crew_id,name,born_year,death_year,profession,known_for
tt8291224,Vicky Kaushal,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Paresh Rawal,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Mohit Raina,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Yami Gautam,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Kirti Kulhari,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Rajit Kapoor,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Ivan Rodrigues,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Manasi Parekh,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Swaroop Sampat,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Riva Arora,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Yogesh Soman,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Fareed Ahmed,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Akashdeep Arora,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt8291224,Kallol Banerjee,nm2336554,nm2336554,Aditya Dhar,\N,\N,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
tt9472208,Vicky Ahuja,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Shoaib Ibrahim,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Shrikant Kamat,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Elena Kazan,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Vishwas Kini,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Major Kishore,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Jashn Kohli,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Rammy C. Pandey,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Manish Sharma,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Sparsh Sharma,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Farnaz Shetty,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Vikas Shrivastav,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Chandraprakash Thakur,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt9472208,Brajesh Tiwari,nm10342614,nm10342614,Brijesh Batuknath Tripathi,\N,\N,director|producer,tt9472208|tt1825833
tt6986710,Anupam Kher,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Akshaye Khanna,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Aahana Kumra,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Atul Sharma,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Manoj Anand,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Arjun Mathur,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Suzanne Bernert,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Abdul Quadir Amin,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Bharat Mistri,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Divya Seth,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Anil Rastogi,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
tt6986710,Ramesh Bhatkar,nm9049092,nm9049092,Vijay Ratnakar Gutte,\N,\N,director,tt6986710
